recipe,ingredient,quantity,r_quantity,r_measurement_type,description,notes,optional
13,89,1,2,Tablespoon,,,TRUE
13,90,1,1,Tablespoon,,,TRUE
13,18,1,,,fresh small,"peeled, finely grated",TRUE
13,2,2,,,,crushed,TRUE
13,92,0.5,,,,,TRUE
13,93,1,,,,for deep-frying,TRUE
13,94,150,,,,"trimmed, halved diagonally",TRUE
13,40,400,,,spears,"drained, rinsed",TRUE
13,91,1,1,Tablespoon,fresh,chopped,TRUE
13,43,1,,,steamed jasmine,to serve,TRUE
13,54,1,,,toasted,to serve,TRUE
13,14,1,,,fresh,to serve,TRUE
14,6,1,2.5,Tablespoon,extra virgin,,TRUE
14,2,3,,,,thinly sliced,TRUE
14,95,150,,,,,TRUE
14,96,150,,,,,TRUE
14,10,425,,,,"rinsed, drained",TRUE
14,51,1,,,,"rind finely grated, juiced",TRUE
14,97,1,0.5,Teaspoon,,,TRUE
14,28,1,0.25,Teaspoon,dried,,TRUE
14,38,4,,,,,TRUE
14,50,200,,,,,TRUE
14,98,0.5,,,,finely chopped,TRUE
14,99,0.5,,,,finely chopped,TRUE
14,71,1,,,,to serve,TRUE
15,100,1,2,Teaspoon,chipotle,,TRUE
15,23,2,,,,,TRUE
15,67,4,,,,,TRUE
15,14,1,,,bunch of fresh,,TRUE
15,101,1,1,Tablespoon,,,TRUE
15,75,5,,,mixed-colour,,TRUE
15,102,50,,,,,TRUE
15,38,6,,,,,FALSE
15,6,2,,,,,FALSE
15,30,20,,,,,TRUE
16,121,650,,,,,FALSE
16,103,260,,,,cut into 2cm pieces,TRUE
16,104,250,,,,halved,FALSE
16,105,250,,,dried fusilli,,FALSE
16,98,1,,,small,thinly sliced,TRUE
16,106,1,2,Tablespoon,,toasted,TRUE
16,107,1,,,,to serve,TRUE
16,69,1,,,ripe,chopped,TRUE
16,29,1,,,bunch of fresh,leaves picked,TRUE
16,2,2,,,,chopped,TRUE
16,51,60,,,fresh,,TRUE
16,6,1,2,Tablespoon,extra virgin,,TRUE
17,108,400,,,packet,,TRUE
17,46,500,,,,,FALSE
17,109,500,,,,liquid,FALSE
17,110,700,,,,"peeled, chopped",FALSE
17,111,120,,,soft,,TRUE
18,112,400,,,smoked,"skin removed, shredded",FALSE
18,113,160,,,,shredded,TRUE
18,103,1,,,bunch,"trimmed, thinly sliced",TRUE
18,114,2,,,small,thinly sliced,TRUE
18,58,0.25,,,small,shredded,TRUE
18,115,2,,,sheets,torn,TRUE
18,56,1,3,Teaspoon,,,TRUE
18,116,1,1.5,Tablespoon,salt-reduced,,TRUE
18,36,1,1.5,Teaspoon,,,TRUE
18,83,1,2,Teaspoon,,,TRUE
18,54,1,,,white and black,to serve,TRUE
19,36,1,1,Tablespoon,,,TRUE
19,117,1,1,Tablespoon,,,TRUE
19,18,1,1,Tablespoon,,,TRUE
19,25,500,,,,cut into 3cm pieces,TRUE
19,93,1,,,,to deep-fry,TRUE
19,33,130,,,,,TRUE
19,118,1,2,Tablespoon,,,TRUE
20,118,1,1,Cup,,,FALSE
20,78,1,0.125,Teaspoon,,,TRUE
20,38,1,,,,,FALSE
20,119,250,,,,,FALSE
